group,variant,metric,mean,median,p95,unit
resize,baseline,time,0.05534500002492374,0.054600001021754,0.0596999961999245,ms/op
resize,current,time,0.06657499989766318,0.06459999713115394,0.07809999806340784,ms/op
jpeg,q70,encode_time,0.13182566690375097,0.12720000086119398,0.1556999995955266,ms/op
jpeg,q90,encode_time,0.13682066647258276,0.130899999930989,0.18399999680696055,ms/op
jpeg,q70,size,13.1513671875,13.1513671875,13.1513671875,KB/frame
jpeg,q90,size,19.458984375,19.458984375,19.458984375,KB/frame
