payload_bytes,variant,mean_us_op,median_us_op,p95_us_op,throughput_MBps,heapUsed_bytes
1024,baseline_naive,9.349040000000075,9.3,9.5,104.45591205086214,7374808
1024,current_lookup_table,1.766119999999398,1.7,1.8,552.9423255499812,6917288
4096,baseline_naive,38.41259999999866,36.8,38,101.6918927643569,10283752
4096,current_lookup_table,6.912143333337132,6.6,6.8,565.1286166419948,8577520
16384,baseline_naive,155.18348000000037,148.5,158.8,100.6872638762835,9218328
16384,current_lookup_table,28.148063333339564,26.6,29,555.1003568154259,11583264
